Instance,Date,Location,Opp,Type,Tm,Opp,OT?,FG_Furman,FGA_Furman,FG%_Furman,3P_Furman,3PA_Furman,3P%_Furman,2P_Furman,2PA_Furman,2P%_Furman,eFG%_Furman,FT_Furman,FTA_Furman,FT%_Furman,ORB_Furman,DRB_Furman,TRB_Furman,AST_Furman,STL_Furman,BLK_Furman,TOV_Furman,PF_Furman,FG_Opponent,FGA_Opponent,FG%_Opponent,3P_Opponent,3PA_Opponent,3P%_Opponent,2P_Opponent,2PA_Opponent,2P%_Opponent,eFG%_Opponent,FT_Opponent,FTA_Opponent,FT%_Opponent,ORB_Opponent,DRB_Opponent,TRB_Opponent,AST_Opponent,STL_Opponent,BLK_Opponent,TOV_Opponent,PF_Opponent,Result
452,2/18/12,Away,Samford,REG (Conf),49,55,No,19,55,0.345,6,29,0.207,13,26,0.5,0.4,5,8,0.625,9,23,32,12,5,1,13,23,22,47,0.468,4,13,0.308,18,34,0.529,0.511,7,17,0.412,7,26,33,12,3,2,11,14,Lose
453,2/23/12,Home,Chattanooga,REG (Conf),65,55,No,22,53,0.415,5,23,0.217,17,30,0.567,0.462,16,29,0.552,13,27,40,12,6,5,11,20,17,54,0.315,5,19,0.263,12,35,0.343,0.361,16,24,0.667,8,20,28,11,7,0,11,20,Win
454,2/25/12,Away,Wofford,REG (Conf),52,67,No,19,44,0.432,4,18,0.222,15,26,0.577,0.477,10,16,0.625,7,21,28,3,5,1,14,15,24,50,0.48,11,22,0.5,13,28,0.464,0.59,8,11,0.727,5,19,24,14,6,0,11,18,Lose
455,3/2/12,Neutral,Samford,CTOURN,75,66,No,24,56,0.429,8,26,0.308,16,30,0.533,0.5,19,25,0.76,14,21,35,9,2,2,11,14,27,56,0.482,2,20,0.1,25,36,0.694,0.5,10,17,0.588,5,17,22,10,9,1,6,20,Win
456,3/3/12,Neutral,Davidson,CTOURN,54,73,No,20,53,0.377,5,15,0.333,15,38,0.395,0.425,9,22,0.409,12,22,34,6,8,6,16,17,27,57,0.474,10,26,0.385,17,31,0.548,0.561,9,16,0.563,9,22,31,20,9,2,10,22,Lose
457,11/12/10,Home,North Greenville,REG (Non-Conf),72,54,No,26,61,0.426,12,30,0.4,14,31,0.452,0.525,8,12,0.667,16,24,40,17,8,10,11,10,20,50,0.4,7,14,0.5,13,36,0.361,0.47,7,11,0.636,7,19,26,13,5,3,13,14,Win
458,11/16/10,Home,UNC Asheville,REG (Non-Conf),69,67,No,20,49,0.408,4,18,0.222,16,31,0.516,0.449,25,29,0.862,10,24,34,9,4,2,17,21,22,60,0.367,5,13,0.385,17,47,0.362,0.408,18,25,0.72,15,20,35,7,8,3,15,23,Win
459,11/19/10,Away,Kent State,REG (Non-Conf),74,78,OT,30,70,0.429,6,22,0.273,24,48,0.5,0.471,8,12,0.667,16,20,36,12,6,3,19,24,27,56,0.482,1,10,0.1,26,46,0.565,0.491,23,34,0.676,9,21,30,12,10,2,15,17,Lose
460,11/23/10,Away,South Carolina State,REG (Non-Conf),59,55,No,17,42,0.405,10,24,0.417,7,18,0.389,0.524,15,24,0.625,7,23,30,11,3,5,18,20,19,47,0.404,3,13,0.231,16,34,0.471,0.436,14,23,0.609,8,19,27,9,7,1,17,26,Win
461,11/28/10,Away,Penn State,REG (Non-Conf),49,70,No,18,48,0.375,9,20,0.45,9,28,0.321,0.469,4,5,0.8,5,13,18,8,6,0,12,15,26,48,0.542,12,19,0.632,14,29,0.483,0.667,6,9,0.667,9,21,30,16,9,2,14,12,Lose
462,12/1/10,Home,Elon,REG (Conf),80,65,No,27,55,0.491,4,17,0.235,23,38,0.605,0.527,22,34,0.647,8,28,36,17,5,4,9,22,21,50,0.42,7,18,0.389,14,32,0.438,0.49,16,22,0.727,3,21,24,13,3,0,12,28,Win
463,12/6/10,Away,UNC Greensboro,REG (Conf),81,68,No,25,52,0.481,9,17,0.529,16,35,0.457,0.567,22,27,0.815,7,18,25,14,6,6,13,18,25,59,0.424,4,11,0.364,21,48,0.438,0.458,14,18,0.778,8,16,24,9,6,3,16,24,Win
464,12/12/10,Away,Middle Tennessee,REG (Non-Conf),76,61,No,26,49,0.531,7,14,0.5,19,35,0.543,0.602,17,23,0.739,15,21,36,11,8,2,14,26,18,52,0.346,6,15,0.4,12,37,0.324,0.404,19,31,0.613,13,12,25,8,7,4,11,20,Win
465,12/18/10,Away,North Florida,REG (Non-Conf),60,49,No,20,45,0.444,5,18,0.278,15,27,0.556,0.5,15,22,0.682,10,20,30,7,7,3,16,14,20,52,0.385,3,16,0.188,17,36,0.472,0.413,6,9,0.667,11,20,31,7,7,2,17,20,Win
466,12/22/10,Home,South Carolina,REG (Non-Conf),91,75,No,30,57,0.526,7,15,0.467,23,42,0.548,0.588,24,29,0.828,12,27,39,18,7,1,15,14,26,60,0.433,12,30,0.4,14,30,0.467,0.533,11,20,0.55,9,14,23,9,3,6,14,25,Win
467,12/29/10,Away,UCF,REG (Non-Conf),53,71,No,20,60,0.333,4,13,0.308,16,47,0.34,0.367,9,15,0.6,16,20,36,7,4,5,10,19,26,53,0.491,3,13,0.231,23,40,0.575,0.519,16,22,0.727,8,21,29,11,4,7,6,17,Lose
468,12/30/10,Neutral,Northeastern,REG (Non-Conf),75,62,No,24,54,0.444,8,18,0.444,16,36,0.444,0.519,19,27,0.704,15,24,39,16,5,3,13,20,19,49,0.388,3,16,0.188,16,33,0.485,0.418,21,25,0.84,8,15,23,9,6,4,11,20,Win
469,1/3/11,Home,Virginia Wise,REG (Non-Conf),82,55,No,31,64,0.484,5,18,0.278,26,46,0.565,0.523,15,20,0.75,16,26,42,14,9,6,15,20,17,48,0.354,4,12,0.333,13,36,0.361,0.396,17,23,0.739,6,16,22,9,9,2,19,16,Win
470,1/6/11,Home,College of Charleston,REG (Conf),72,76,No,28,63,0.444,7,22,0.318,21,41,0.512,0.5,9,11,0.818,9,15,24,14,8,1,8,14,29,52,0.558,7,14,0.5,22,38,0.579,0.625,11,15,0.733,8,23,31,13,4,3,14,15,Lose
471,1/8/11,Home,The Citadel,REG (Conf),88,67,No,32,54,0.593,8,19,0.421,24,35,0.686,0.667,16,21,0.762,7,23,30,16,4,4,8,15,23,53,0.434,3,11,0.273,20,42,0.476,0.462,18,23,0.783,9,17,26,10,4,1,10,20,Win
472,1/12/11,Away,Davidson,REG (Conf),70,79,No,20,43,0.465,3,10,0.3,17,33,0.515,0.5,27,34,0.794,3,17,20,8,3,4,14,28,22,49,0.449,7,16,0.438,15,33,0.455,0.52,28,37,0.757,9,21,30,10,4,1,12,25,Lose
473,1/15/11,Away,Georgia Southern,REG (Conf),74,56,No,23,44,0.523,13,26,0.5,10,18,0.556,0.67,15,21,0.714,2,26,28,15,7,4,14,18,20,55,0.364,5,20,0.25,15,35,0.429,0.409,11,13,0.846,8,18,26,10,5,0,14,19,Win
474,1/20/11,Home,Samford,REG (Conf),74,55,No,25,45,0.556,15,24,0.625,10,21,0.476,0.722,9,15,0.6,8,20,28,17,2,3,10,15,19,43,0.442,6,20,0.3,13,23,0.565,0.512,11,14,0.786,2,14,16,9,4,0,8,22,Win
475,1/22/11,Home,Chattanooga,REG (Conf),85,59,No,29,59,0.492,13,31,0.419,16,28,0.571,0.602,14,21,0.667,7,27,34,22,5,4,8,25,20,59,0.339,3,22,0.136,17,37,0.459,0.364,16,31,0.516,12,25,37,14,4,1,13,23,Win
476,1/24/11,Away,Wofford,REG (Conf),73,68,OT,27,50,0.54,5,12,0.417,22,38,0.579,0.59,14,16,0.875,5,23,28,11,5,4,11,15,28,67,0.418,4,15,0.267,24,52,0.462,0.448,8,15,0.533,12,17,29,15,5,2,11,14,Win
477,1/27/11,Away,Western Carolina,REG (Conf),41,65,No,15,56,0.268,2,21,0.095,13,35,0.371,0.286,9,17,0.529,9,24,33,4,2,2,12,21,26,54,0.481,3,11,0.273,23,43,0.535,0.509,10,20,0.5,8,33,41,13,8,4,10,17,Lose
478,1/29/11,Home,Appalachian State,REG (Conf),81,61,No,29,60,0.483,12,22,0.545,17,38,0.447,0.583,11,13,0.846,10,24,34,21,6,4,8,17,19,49,0.388,5,16,0.313,14,33,0.424,0.439,18,22,0.818,3,19,22,8,3,2,8,18,Win
479,2/3/11,Away,The Citadel,REG (Conf),59,55,No,21,53,0.396,8,24,0.333,13,29,0.448,0.472,9,15,0.6,8,19,27,12,5,2,8,10,21,55,0.382,5,26,0.192,16,29,0.552,0.427,8,10,0.8,11,25,36,10,5,3,10,14,Win
480,2/5/11,Away,College of Charleston,REG (Conf),54,73,No,22,56,0.393,5,15,0.333,17,41,0.415,0.438,5,7,0.714,12,16,28,9,3,1,11,17,29,51,0.569,4,15,0.267,25,36,0.694,0.608,11,16,0.688,9,22,31,9,4,4,10,10,Lose
481,2/10/11,Home,Georgia Southern,REG (Conf),54,45,No,16,45,0.356,6,17,0.353,10,28,0.357,0.422,16,23,0.696,10,21,31,8,6,5,10,8,17,52,0.327,5,18,0.278,12,34,0.353,0.375,6,9,0.667,14,17,31,14,5,3,15,21,Win
482,2/12/11,Home,Davidson,REG (Conf),88,79,No,25,44,0.568,6,13,0.462,19,31,0.613,0.636,32,46,0.696,9,31,40,12,2,4,16,25,26,67,0.388,7,24,0.292,19,43,0.442,0.44,20,31,0.645,12,16,28,12,8,1,6,32,Win
483,2/19/11,Away,Samford,REG (Conf),70,63,No,20,47,0.426,7,20,0.35,13,27,0.481,0.5,23,27,0.852,10,17,27,11,4,3,14,16,22,41,0.537,10,23,0.435,12,18,0.667,0.659,9,14,0.643,3,14,17,18,7,1,16,24,Win
484,2/21/11,Away,Chattanooga,REG (Conf),59,75,No,22,57,0.386,7,32,0.219,15,25,0.6,0.447,8,10,0.8,5,19,24,12,5,1,10,22,22,45,0.489,10,19,0.526,12,26,0.462,0.6,21,31,0.677,7,31,38,13,6,2,12,17,Lose
485,2/26/11,Home,Wofford,REG (Conf),65,79,No,19,41,0.463,3,8,0.375,16,33,0.485,0.5,24,30,0.8,5,18,23,10,5,4,8,15,29,58,0.5,10,15,0.667,19,43,0.442,0.586,11,19,0.579,15,16,31,15,6,0,7,19,Lose
486,3/4/11,Neutral,Samford,CTOURN,61,48,No,22,48,0.458,6,18,0.333,16,30,0.533,0.521,11,19,0.579,13,15,28,12,7,3,13,23,13,37,0.351,4,17,0.235,9,20,0.45,0.405,18,24,0.75,6,14,20,8,4,0,16,20,Win
487,3/5/11,Away,Chattanooga,CTOURN,61,52,No,18,42,0.429,7,19,0.368,11,23,0.478,0.512,18,24,0.75,9,28,37,10,8,3,21,24,16,51,0.314,5,20,0.25,11,31,0.355,0.363,15,29,0.517,11,17,28,8,9,2,16,24,Win
488,3/6/11,Neutral,College of Charleston,CTOURN,58,63,No,19,54,0.352,6,19,0.316,13,35,0.371,0.407,14,18,0.778,11,28,39,10,3,5,17,29,18,54,0.333,3,15,0.2,15,39,0.385,0.361,24,36,0.667,13,23,36,7,4,7,7,17,Lose
489,3/15/11,Away,East Tennessee State,CIT,63,76,No,19,45,0.422,9,20,0.45,10,25,0.4,0.522,16,27,0.593,10,19,29,9,2,3,17,21,26,51,0.51,5,13,0.385,21,38,0.553,0.559,19,22,0.864,7,19,26,9,12,2,11,22,Lose
